1.965299999999999955e+03,1.958599999999999909e+03,1.950299999999999955e+03,1.936799999999999955e+03,1.954200000000000045e+03,1.939000000000000000e+03,1.930200000000000045e+03,1.954000000000000000e+03,1.968299999999999955e+03
1.885400000000000091e+03,1.898500000000000000e+03,1.885700000000000045e+03,1.874799999999999955e+03,1.878000000000000000e+03,1.864900000000000091e+03,1.871599999999999909e+03,1.894500000000000000e+03,1.850599999999999909e+03
1.783599999999999909e+03,1.786799999999999955e+03,1.768400000000000091e+03,1.762900000000000091e+03,1.812700000000000045e+03,1.789700000000000045e+03,1.771200000000000045e+03,1.797700000000000045e+03,1.789599999999999909e+03
1.691299999999999955e+03,1.701599999999999909e+03,1.659099999999999909e+03,1.701700000000000045e+03,1.675299999999999955e+03,1.702500000000000000e+03,1.715200000000000045e+03,1.696500000000000000e+03,1.705200000000000045e+03
1.661900000000000091e+03,1.618500000000000000e+03,1.585400000000000091e+03,1.616000000000000000e+03,1.608900000000000091e+03,1.597599999999999909e+03,1.582700000000000045e+03,1.599400000000000091e+03,1.600599999999999909e+03
1.534299999999999955e+03,1.513900000000000091e+03,1.540599999999999909e+03,1.503500000000000000e+03,1.543799999999999955e+03,1.514900000000000091e+03,1.512799999999999955e+03,1.508099999999999909e+03,1.507900000000000091e+03
1.480799999999999955e+03,1.447500000000000000e+03,1.424700000000000045e+03,1.444299999999999955e+03,1.456299999999999955e+03,1.448099999999999909e+03,1.440799999999999955e+03,1.436200000000000045e+03,1.418000000000000000e+03
1.367599999999999909e+03,1.360400000000000091e+03,1.389299999999999955e+03,1.348000000000000000e+03,1.361599999999999909e+03,1.366500000000000000e+03,1.366500000000000000e+03,1.403299999999999955e+03,1.397099999999999909e+03
1.305299999999999955e+03,1.288400000000000091e+03,1.267799999999999955e+03,1.282299999999999955e+03,1.277000000000000000e+03,1.261000000000000000e+03,1.287299999999999955e+03,1.238099999999999909e+03,1.278299999999999955e+03
1.222400000000000091e+03,1.181700000000000045e+03,1.193599999999999909e+03,1.188200000000000045e+03,1.181500000000000000e+03,1.177799999999999955e+03,1.198500000000000000e+03,1.151500000000000000e+03,1.203799999999999955e+03
1.162400000000000091e+03,1.138599999999999909e+03,1.067599999999999909e+03,1.093400000000000091e+03,1.105799999999999955e+03,1.114599999999999909e+03,1.103000000000000000e+03,1.116000000000000000e+03,1.114299999999999955e+03
1.187799999999999955e+03,1.026000000000000000e+03,1.043700000000000045e+03,1.003000000000000000e+03,1.033799999999999955e+03,1.040599999999999909e+03,1.007399999999999977e+03,1.024400000000000091e+03,1.049000000000000000e+03
1.145700000000000045e+03,9.621000000000000227e+02,9.242999999999999545e+02,9.552999999999999545e+02,9.473999999999999773e+02,9.657000000000000455e+02,9.642000000000000455e+02,9.742000000000000455e+02,9.597999999999999545e+02
1.154200000000000045e+03,9.545000000000000000e+02,9.093999999999999773e+02,9.343999999999999773e+02,9.125000000000000000e+02,9.090000000000000000e+02,8.987000000000000455e+02,9.068999999999999773e+02,9.148999999999999773e+02
1.187000000000000000e+03,9.088999999999999773e+02,8.860000000000000000e+02,8.673999999999999773e+02,8.756000000000000227e+02,8.775000000000000000e+02,8.682999999999999545e+02,8.692000000000000455e+02,8.985000000000000000e+02
1.138400000000000091e+03,9.061000000000000227e+02,8.607999999999999545e+02,8.555000000000000000e+02,8.145000000000000000e+02,8.370000000000000000e+02,8.178999999999999773e+02,8.527000000000000455e+02,8.520000000000000000e+02
1.129400000000000091e+03,8.803999999999999773e+02,8.202999999999999545e+02,7.822000000000000455e+02,8.021000000000000227e+02,8.113999999999999773e+02,7.876000000000000227e+02,7.961000000000000227e+02,8.037999999999999545e+02
1.170700000000000045e+03,8.178999999999999773e+02,7.842000000000000455e+02,7.802000000000000455e+02,7.783999999999999773e+02,7.827000000000000455e+02,7.708999999999999773e+02,7.632999999999999545e+02,7.592000000000000455e+02
1.162900000000000091e+03,8.588999999999999773e+02,7.545000000000000000e+02,7.526000000000000227e+02,7.527999999999999545e+02,7.267999999999999545e+02,7.412999999999999545e+02,7.490000000000000000e+02,7.387999999999999545e+02
