1.034515000000000100e+03,1.028710000000000036e+03,1.036994999999999891e+03,1.030545000000000073e+03,1.036164999999999964e+03,1.032750000000000000e+03,1.035980000000000018e+03
1.033545000000000073e+03,9.392300000000000182e+02,9.352350000000000136e+02,9.344650000000000318e+02,9.362300000000000182e+02,9.308300000000000409e+02,9.313450000000000273e+02
1.041160000000000082e+03,8.376499999999999773e+02,8.315750000000000455e+02,8.336549999999999727e+02,8.310549999999999500e+02,8.348049999999999500e+02,8.363049999999999500e+02
1.032349999999999909e+03,8.414149999999999636e+02,7.368799999999999955e+02,7.368899999999999864e+02,7.366050000000000182e+02,7.355650000000000546e+02,7.356299999999999955e+02
1.035539999999999964e+03,8.355449999999999591e+02,6.322450000000000045e+02,6.303150000000000546e+02,6.327300000000000182e+02,6.384099999999999682e+02,6.385900000000000318e+02
1.037845000000000027e+03,8.361799999999999500e+02,6.340249999999999773e+02,5.380800000000000409e+02,5.394299999999999500e+02,5.407849999999999682e+02,5.364349999999999454e+02
1.036934999999999945e+03,8.352849999999999682e+02,6.325149999999999864e+02,4.486750000000000114e+02,4.500799999999999841e+02,4.491449999999999818e+02,4.463450000000000273e+02
1.032880000000000109e+03,8.407500000000000000e+02,6.400049999999999955e+02,4.495950000000000273e+02,3.641399999999999864e+02,3.648450000000000273e+02,3.654700000000000273e+02
1.035640000000000100e+03,8.383949999999999818e+02,6.390349999999999682e+02,4.512149999999999750e+02,3.023050000000000068e+02,2.948249999999999886e+02,2.953600000000000136e+02
1.039680000000000064e+03,8.421050000000000182e+02,6.401950000000000500e+02,4.491650000000000205e+02,3.005749999999999886e+02,2.481750000000000114e+02,2.468100000000000023e+02
1.033599999999999909e+03,8.372400000000000091e+02,6.447450000000000045e+02,4.481949999999999932e+02,3.020199999999999818e+02,2.110900000000000034e+02,2.065850000000000080e+02
1.033579999999999927e+03,8.414400000000000546e+02,6.413600000000000136e+02,4.512099999999999795e+02,2.991499999999999773e+02,2.113950000000000102e+02,1.771100000000000136e+02
1.038845000000000027e+03,8.381200000000000045e+02,6.377599999999999909e+02,4.500899999999999750e+02,3.009399999999999977e+02,2.129850000000000136e+02,1.601649999999999920e+02
1.037154999999999973e+03,8.338099999999999454e+02,6.377699999999999818e+02,4.561750000000000114e+02,3.020000000000000000e+02,2.111550000000000011e+02,1.600850000000000080e+02
1.036930000000000064e+03,8.419550000000000409e+02,6.407949999999999591e+02,4.520849999999999795e+02,3.032850000000000250e+02,2.105850000000000080e+02,1.593350000000000080e+02
