7.648999999999999773e+02,7.702050000000000409e+02,7.644550000000000409e+02,7.691799999999999500e+02,7.679450000000000500e+02,7.690800000000000409e+02,7.686050000000000182e+02,7.680950000000000273e+02,7.717250000000000227e+02
7.682649999999999864e+02,6.679950000000000045e+02,6.672150000000000318e+02,6.647400000000000091e+02,6.678949999999999818e+02,6.631000000000000227e+02,6.624650000000000318e+02,6.677749999999999773e+02,6.646150000000000091e+02
7.629900000000000091e+02,5.691200000000000045e+02,5.673949999999999818e+02,5.710299999999999727e+02,5.663600000000000136e+02,5.648200000000000500e+02,5.712000000000000455e+02,5.694349999999999454e+02,5.676849999999999454e+02
7.669500000000000455e+02,5.718150000000000546e+02,4.731349999999999909e+02,4.704800000000000182e+02,4.747400000000000091e+02,4.706650000000000205e+02,4.710400000000000205e+02,4.710699999999999932e+02,4.699300000000000068e+02
7.690199999999999818e+02,5.694950000000000045e+02,3.848349999999999795e+02,3.793799999999999955e+02,3.842649999999999864e+02,3.813899999999999864e+02,3.804750000000000227e+02,3.818249999999999886e+02,3.840299999999999727e+02
7.663450000000000273e+02,5.707549999999999955e+02,3.845099999999999909e+02,3.095899999999999750e+02,3.066050000000000182e+02,3.058849999999999909e+02,3.094900000000000091e+02,3.064549999999999841e+02,3.081449999999999818e+02
7.701649999999999636e+02,5.743849999999999909e+02,3.860799999999999841e+02,2.537800000000000011e+02,2.480449999999999875e+02,2.504099999999999966e+02,2.470949999999999989e+02,2.499900000000000091e+02,2.482700000000000102e+02
7.671950000000000500e+02,5.713350000000000364e+02,3.880199999999999818e+02,2.537949999999999875e+02,2.079050000000000011e+02,2.051750000000000114e+02,2.080000000000000000e+02,2.041250000000000000e+02,2.030399999999999920e+02
7.662749999999999773e+02,5.761050000000000182e+02,3.865450000000000159e+02,2.542599999999999909e+02,1.789900000000000091e+02,1.751949999999999932e+02,1.768600000000000136e+02,1.735149999999999864e+02,1.724900000000000091e+02
7.653600000000000136e+02,5.727999999999999545e+02,3.808849999999999909e+02,2.519050000000000011e+02,1.773899999999999864e+02,1.552700000000000102e+02,1.571150000000000091e+02,1.522400000000000091e+02,1.530550000000000068e+02
7.717949999999999591e+02,5.748099999999999454e+02,3.857200000000000273e+02,2.481299999999999955e+02,1.792849999999999966e+02,1.423199999999999932e+02,1.352050000000000125e+02,1.383100000000000023e+02,1.371200000000000045e+02
7.661349999999999909e+02,5.714049999999999727e+02,3.905550000000000068e+02,2.528799999999999955e+02,1.794300000000000068e+02,1.428950000000000102e+02,1.279350000000000023e+02,1.218149999999999977e+02,1.245499999999999972e+02
7.667250000000000227e+02,5.743750000000000000e+02,3.865500000000000114e+02,2.467350000000000136e+02,1.793750000000000000e+02,1.440900000000000034e+02,1.197150000000000034e+02,1.149300000000000068e+02,1.166149999999999949e+02
7.683450000000000273e+02,5.763949999999999818e+02,3.878750000000000000e+02,2.491299999999999955e+02,1.803050000000000068e+02,1.408549999999999898e+02,1.167000000000000028e+02,1.084050000000000011e+02,1.056350000000000051e+02
7.675000000000000000e+02,5.746549999999999727e+02,3.845249999999999773e+02,2.547299999999999898e+02,1.803799999999999955e+02,1.414900000000000091e+02,1.154749999999999943e+02,9.960500000000000398e+01,1.003149999999999977e+02
7.654850000000000136e+02,5.698999999999999773e+02,3.848650000000000091e+02,2.496049999999999898e+02,1.783600000000000136e+02,1.392700000000000102e+02,1.172000000000000028e+02,1.005349999999999966e+02,9.051500000000000057e+01
7.653750000000000000e+02,5.767599999999999909e+02,3.898650000000000091e+02,2.517050000000000125e+02,1.792849999999999966e+02,1.410749999999999886e+02,1.185999999999999943e+02,9.868999999999999773e+01,8.723499999999999943e+01
7.686449999999999818e+02,5.691449999999999818e+02,3.860799999999999841e+02,2.541699999999999875e+02,1.777750000000000057e+02,1.407750000000000057e+02,1.201299999999999955e+02,1.008050000000000068e+02,8.929999999999999716e+01
7.648999999999999773e+02,5.760700000000000500e+02,3.864449999999999932e+02,2.543750000000000000e+02,1.812450000000000045e+02,1.419149999999999920e+02,1.166800000000000068e+02,1.017800000000000011e+02,8.523000000000000398e+01
