1.042144999999999982e+03,1.038910000000000082e+03,1.038105000000000018e+03,1.037369999999999891e+03,1.039210000000000036e+03,1.041109999999999900e+03,1.034720000000000027e+03
1.034154999999999973e+03,9.373350000000000364e+02,9.378400000000000318e+02,9.411299999999999955e+02,9.399049999999999727e+02,9.362799999999999727e+02,9.421349999999999909e+02
1.044640000000000100e+03,8.418650000000000091e+02,8.389400000000000546e+02,8.369400000000000546e+02,8.417150000000000318e+02,8.381599999999999682e+02,8.388099999999999454e+02
1.037180000000000064e+03,8.445099999999999909e+02,7.419299999999999500e+02,7.405549999999999500e+02,7.385349999999999682e+02,7.412250000000000227e+02,7.463750000000000000e+02
1.046549999999999955e+03,8.418200000000000500e+02,6.408849999999999909e+02,6.366950000000000500e+02,6.419249999999999545e+02,6.434049999999999727e+02,6.379249999999999545e+02
1.040769999999999982e+03,8.447450000000000045e+02,6.409600000000000364e+02,5.429349999999999454e+02,5.389850000000000136e+02,5.444400000000000546e+02,5.413700000000000045e+02
1.041490000000000009e+03,8.441749999999999545e+02,6.440700000000000500e+02,4.554049999999999727e+02,4.513949999999999818e+02,4.529300000000000068e+02,4.561700000000000159e+02
1.038954999999999927e+03,8.413300000000000409e+02,6.372549999999999955e+02,4.574250000000000114e+02,3.719599999999999795e+02,3.721600000000000250e+02,3.713100000000000023e+02
1.044174999999999955e+03,8.478849999999999909e+02,6.433750000000000000e+02,4.535000000000000000e+02,3.108949999999999818e+02,3.062099999999999795e+02,3.067099999999999795e+02
1.039549999999999955e+03,8.467899999999999636e+02,6.485299999999999727e+02,4.517500000000000000e+02,3.084549999999999841e+02,2.551250000000000000e+02,2.537350000000000136e+02
1.045980000000000018e+03,8.452150000000000318e+02,6.426699999999999591e+02,4.560149999999999864e+02,3.076700000000000159e+02,2.206299999999999955e+02,2.162299999999999898e+02
1.042480000000000018e+03,8.415449999999999591e+02,6.488999999999999773e+02,4.607900000000000205e+02,3.032450000000000045e+02,2.195349999999999966e+02,1.856349999999999909e+02
1.039845000000000027e+03,8.441100000000000136e+02,6.464199999999999591e+02,4.559200000000000159e+02,3.111549999999999727e+02,2.192450000000000045e+02,1.714900000000000091e+02
1.041555000000000064e+03,8.451849999999999454e+02,6.423400000000000318e+02,4.527200000000000273e+02,3.078399999999999750e+02,2.179000000000000057e+02,1.716049999999999898e+02
1.043869999999999891e+03,8.472400000000000091e+02,6.431799999999999500e+02,4.583149999999999977e+02,3.046700000000000159e+02,2.196150000000000091e+02,1.700749999999999886e+02
