7.740349999999999682e+02,7.732150000000000318e+02,7.743700000000000045e+02,7.775299999999999727e+02,7.728450000000000273e+02,7.736499999999999773e+02,7.754550000000000409e+02,7.730750000000000455e+02,7.743650000000000091e+02
7.705199999999999818e+02,6.746050000000000182e+02,6.795700000000000500e+02,6.717400000000000091e+02,6.772599999999999909e+02,6.767000000000000455e+02,6.752200000000000273e+02,6.727599999999999909e+02,6.717999999999999545e+02
7.750449999999999591e+02,5.725549999999999500e+02,5.784700000000000273e+02,5.763650000000000091e+02,5.750449999999999591e+02,5.752250000000000227e+02,5.751299999999999955e+02,5.711749999999999545e+02,5.774450000000000500e+02
7.747100000000000364e+02,5.727450000000000045e+02,4.787250000000000227e+02,4.795749999999999886e+02,4.779800000000000182e+02,4.789100000000000250e+02,4.767950000000000159e+02,4.756600000000000250e+02,4.772950000000000159e+02
7.750399999999999636e+02,5.733899999999999864e+02,3.895649999999999977e+02,3.852900000000000205e+02,3.875550000000000068e+02,3.884850000000000136e+02,3.881800000000000068e+02,3.891750000000000114e+02,3.886850000000000023e+02
7.751950000000000500e+02,5.798600000000000136e+02,3.900000000000000000e+02,3.089900000000000091e+02,3.116150000000000091e+02,3.110600000000000023e+02,3.073949999999999818e+02,3.094150000000000205e+02,3.117950000000000159e+02
7.766449999999999818e+02,5.780149999999999864e+02,3.896600000000000250e+02,2.572250000000000227e+02,2.558700000000000045e+02,2.519099999999999966e+02,2.529499999999999886e+02,2.536150000000000091e+02,2.544799999999999898e+02
7.717949999999999591e+02,5.780850000000000364e+02,3.926449999999999818e+02,2.536200000000000045e+02,2.131649999999999920e+02,2.155649999999999977e+02,2.116949999999999932e+02,2.139449999999999932e+02,2.138700000000000045e+02
7.755249999999999773e+02,5.764700000000000273e+02,3.905249999999999773e+02,2.545600000000000023e+02,1.873549999999999898e+02,1.840000000000000000e+02,1.826100000000000136e+02,1.831200000000000045e+02,1.814000000000000057e+02
7.703849999999999909e+02,5.743949999999999818e+02,3.911700000000000159e+02,2.583700000000000045e+02,1.852649999999999864e+02,1.650200000000000102e+02,1.624600000000000080e+02,1.621699999999999875e+02,1.626200000000000045e+02
7.714349999999999454e+02,5.788650000000000091e+02,3.868450000000000273e+02,2.566399999999999864e+02,1.866850000000000023e+02,1.505850000000000080e+02,1.480399999999999920e+02,1.475550000000000068e+02,1.455749999999999886e+02
7.753899999999999864e+02,5.799299999999999500e+02,3.908550000000000182e+02,2.555949999999999989e+02,1.865000000000000000e+02,1.529799999999999898e+02,1.366699999999999875e+02,1.350949999999999989e+02,1.347800000000000011e+02
7.727849999999999682e+02,5.765349999999999682e+02,3.891100000000000136e+02,2.567749999999999773e+02,1.875099999999999909e+02,1.516649999999999920e+02,1.304199999999999875e+02,1.269899999999999949e+02,1.221650000000000063e+02
7.719550000000000409e+02,5.793849999999999909e+02,3.923700000000000045e+02,2.566050000000000182e+02,1.858799999999999955e+02,1.520000000000000000e+02,1.321599999999999966e+02,1.202750000000000057e+02,1.171949999999999932e+02
7.745099999999999909e+02,5.792150000000000318e+02,3.932799999999999727e+02,2.601349999999999909e+02,1.856299999999999955e+02,1.522899999999999920e+02,1.279350000000000023e+02,1.110400000000000063e+02,1.079150000000000063e+02
7.783300000000000409e+02,5.806399999999999864e+02,3.926349999999999909e+02,2.551399999999999864e+02,1.863899999999999864e+02,1.530600000000000023e+02,1.317849999999999966e+02,1.144449999999999932e+02,1.040100000000000051e+02
7.744400000000000546e+02,5.717649999999999864e+02,3.938750000000000000e+02,2.581999999999999886e+02,1.865749999999999886e+02,1.513549999999999898e+02,1.291200000000000045e+02,1.140550000000000068e+02,9.945000000000000284e+01
7.748300000000000409e+02,5.808799999999999955e+02,3.944250000000000114e+02,2.548449999999999989e+02,1.858700000000000045e+02,1.516750000000000114e+02,1.295500000000000114e+02,1.134800000000000040e+02,1.002950000000000017e+02
7.717500000000000000e+02,5.772200000000000273e+02,3.931250000000000000e+02,2.584750000000000227e+02,1.900449999999999875e+02,1.510250000000000057e+02,1.300049999999999955e+02,1.127750000000000057e+02,9.951999999999999602e+01
