8.798650000000000091e+02,8.747250000000000227e+02,8.803849999999999909e+02,8.784700000000000273e+02,8.775850000000000364e+02,8.793600000000000136e+02,8.743849999999999909e+02
8.798300000000000409e+02,7.726799999999999500e+02,7.734500000000000455e+02,7.709800000000000182e+02,7.698300000000000409e+02,7.717599999999999909e+02,7.722500000000000000e+02
8.767849999999999682e+02,6.675449999999999591e+02,6.680499999999999545e+02,6.664450000000000500e+02,6.674149999999999636e+02,6.687949999999999591e+02,6.638250000000000455e+02
8.767200000000000273e+02,6.642100000000000364e+02,5.577300000000000182e+02,5.633550000000000182e+02,5.605149999999999864e+02,5.598300000000000409e+02,5.602899999999999636e+02
8.782400000000000091e+02,6.645700000000000500e+02,4.513149999999999977e+02,4.602900000000000205e+02,4.612950000000000159e+02,4.630849999999999795e+02,4.508550000000000182e+02
8.803450000000000273e+02,6.703350000000000364e+02,4.596100000000000136e+02,3.619850000000000136e+02,3.554599999999999795e+02,3.512749999999999773e+02,3.571399999999999864e+02
8.763350000000000364e+02,6.701399999999999864e+02,4.627900000000000205e+02,2.650899999999999750e+02,2.627350000000000136e+02,2.661449999999999818e+02,2.640099999999999909e+02
8.729149999999999636e+02,6.748700000000000045e+02,4.577599999999999909e+02,2.646299999999999955e+02,1.802949999999999875e+02,1.805999999999999943e+02,1.797949999999999875e+02
8.799149999999999636e+02,6.678049999999999500e+02,4.646200000000000045e+02,2.636449999999999818e+02,1.167699999999999960e+02,1.218050000000000068e+02,1.189150000000000063e+02
8.753049999999999500e+02,6.691599999999999682e+02,4.619449999999999932e+02,2.653700000000000045e+02,1.158199999999999932e+02,7.020499999999999829e+01,7.368999999999999773e+01
8.778550000000000182e+02,6.692350000000000136e+02,4.621549999999999727e+02,2.642049999999999841e+02,1.212150000000000034e+02,4.266499999999999915e+01,4.092000000000000171e+01
8.793799999999999955e+02,6.740950000000000273e+02,4.617850000000000250e+02,2.613299999999999841e+02,1.191800000000000068e+02,4.245000000000000284e+01,2.368499999999999872e+01
8.774900000000000091e+02,6.740549999999999500e+02,4.619300000000000068e+02,2.619549999999999841e+02,1.234150000000000063e+02,4.316499999999999915e+01,1.242999999999999972e+01
8.776699999999999591e+02,6.674550000000000409e+02,4.573650000000000091e+02,2.609049999999999727e+02,1.178400000000000034e+02,4.348499999999999943e+01,1.395500000000000007e+01
8.752699999999999818e+02,6.724750000000000227e+02,4.636150000000000091e+02,2.611949999999999932e+02,1.185349999999999966e+02,4.199499999999999744e+01,1.347000000000000064e+01
