2.462030000000000200e+03,2.466445000000000164e+03,2.467974999999999909e+03,2.460360000000000127e+03,2.461155000000000200e+03,2.465719999999999800e+03,2.467295000000000073e+03,2.466465000000000146e+03,2.463469999999999800e+03,2.461534999999999854e+03,2.470284999999999854e+03,2.460789999999999964e+03,2.456844999999999800e+03,2.467644999999999982e+03,2.468775000000000091e+03,2.470139999999999873e+03,2.465565000000000055e+03,2.465739999999999782e+03,2.461710000000000036e+03,2.457125000000000000e+03,2.461199999999999818e+03,2.470394999999999982e+03,2.458989999999999782e+03,2.463500000000000000e+03,2.468860000000000127e+03
2.463735000000000127e+03,2.359954999999999927e+03,2.357914999999999964e+03,2.356684999999999945e+03,2.357835000000000036e+03,2.355719999999999800e+03,2.352949999999999818e+03,2.361210000000000036e+03,2.354210000000000036e+03,2.354715000000000146e+03,2.361914999999999964e+03,2.362434999999999945e+03,2.357219999999999800e+03,2.355460000000000036e+03,2.357755000000000109e+03,2.360574999999999818e+03,2.354905000000000200e+03,2.363304999999999836e+03,2.356929999999999836e+03,2.351014999999999873e+03,2.359820000000000164e+03,2.356594999999999800e+03,2.359925000000000182e+03,2.355949999999999818e+03,2.362769999999999982e+03
2.473480000000000018e+03,2.257320000000000164e+03,2.257684999999999945e+03,2.249704999999999927e+03,2.253894999999999982e+03,2.256074999999999818e+03,2.250590000000000146e+03,2.257969999999999800e+03,2.246614999999999782e+03,2.248425000000000182e+03,2.259059999999999945e+03,2.250635000000000218e+03,2.246980000000000018e+03,2.249974999999999909e+03,2.259945000000000164e+03,2.255094999999999800e+03,2.251110000000000127e+03,2.256264999999999873e+03,2.258364999999999782e+03,2.250949999999999818e+03,2.252780000000000200e+03,2.258030000000000200e+03,2.258639999999999873e+03,2.242820000000000164e+03,2.253050000000000182e+03
2.466065000000000055e+03,2.252179999999999836e+03,2.152855000000000018e+03,2.151800000000000182e+03,2.146025000000000091e+03,2.150574999999999818e+03,2.145289999999999964e+03,2.150684999999999945e+03,2.145025000000000091e+03,2.150210000000000036e+03,2.150974999999999909e+03,2.145224999999999909e+03,2.138235000000000127e+03,2.143230000000000018e+03,2.152280000000000200e+03,2.152244999999999891e+03,2.144565000000000055e+03,2.144860000000000127e+03,2.148789999999999964e+03,2.146994999999999891e+03,2.154675000000000182e+03,2.150954999999999927e+03,2.151244999999999891e+03,2.151889999999999873e+03,2.148784999999999854e+03
2.469039999999999964e+03,2.247849999999999909e+03,2.041095000000000027e+03,2.040740000000000009e+03,2.043049999999999955e+03,2.048449999999999818e+03,2.046115000000000009e+03,2.042819999999999936e+03,2.036394999999999982e+03,2.043740000000000009e+03,2.042535000000000082e+03,2.044299999999999955e+03,2.045964999999999918e+03,2.050599999999999909e+03,2.039130000000000109e+03,2.037884999999999991e+03,2.046444999999999936e+03,2.042069999999999936e+03,2.042009999999999991e+03,2.043565000000000055e+03,2.041755000000000109e+03,2.045690000000000055e+03,2.041974999999999909e+03,2.039664999999999964e+03,2.038720000000000027e+03
2.463469999999999800e+03,2.250070000000000164e+03,2.043809999999999945e+03,1.946305000000000064e+03,1.942980000000000018e+03,1.948690000000000055e+03,1.942325000000000045e+03,1.937470000000000027e+03,1.941855000000000018e+03,1.928890000000000100e+03,1.937529999999999973e+03,1.941349999999999909e+03,1.930970000000000027e+03,1.937759999999999991e+03,1.936714999999999918e+03,1.944894999999999982e+03,1.944454999999999927e+03,1.947424999999999955e+03,1.938759999999999991e+03,1.941369999999999891e+03,1.937684999999999945e+03,1.939410000000000082e+03,1.931609999999999900e+03,1.939055000000000064e+03,1.938609999999999900e+03
2.469539999999999964e+03,2.253530000000000200e+03,2.041474999999999909e+03,1.831549999999999955e+03,1.828595000000000027e+03,1.832720000000000027e+03,1.825295000000000073e+03,1.832194999999999936e+03,1.839924999999999955e+03,1.827680000000000064e+03,1.837555000000000064e+03,1.830904999999999973e+03,1.837380000000000109e+03,1.832805000000000064e+03,1.833384999999999991e+03,1.830730000000000018e+03,1.837085000000000036e+03,1.836180000000000064e+03,1.835819999999999936e+03,1.836490000000000009e+03,1.834490000000000009e+03,1.832670000000000073e+03,1.837160000000000082e+03,1.831125000000000000e+03,1.835990000000000009e+03
2.469554999999999836e+03,2.256889999999999873e+03,2.042924999999999955e+03,1.834799999999999955e+03,1.729230000000000018e+03,1.729740000000000009e+03,1.720710000000000036e+03,1.726400000000000091e+03,1.734015000000000100e+03,1.724325000000000045e+03,1.726325000000000045e+03,1.732345000000000027e+03,1.729279999999999973e+03,1.731974999999999909e+03,1.726525000000000091e+03,1.726420000000000073e+03,1.724420000000000073e+03,1.735654999999999973e+03,1.726994999999999891e+03,1.720694999999999936e+03,1.736755000000000109e+03,1.730079999999999927e+03,1.721220000000000027e+03,1.731900000000000091e+03,1.725480000000000018e+03
2.471485000000000127e+03,2.261844999999999800e+03,2.038009999999999991e+03,1.832829999999999927e+03,1.621660000000000082e+03,1.632880000000000109e+03,1.612305000000000064e+03,1.625845000000000027e+03,1.630045000000000073e+03,1.619045000000000073e+03,1.633190000000000055e+03,1.619769999999999982e+03,1.616119999999999891e+03,1.621154999999999973e+03,1.625450000000000045e+03,1.620164999999999964e+03,1.623559999999999945e+03,1.626994999999999891e+03,1.625140000000000100e+03,1.624519999999999982e+03,1.621555000000000064e+03,1.623440000000000055e+03,1.622765000000000100e+03,1.622625000000000000e+03,1.622359999999999900e+03
2.466239999999999782e+03,2.248130000000000109e+03,2.043430000000000064e+03,1.834644999999999982e+03,1.629420000000000073e+03,1.514984999999999900e+03,1.516160000000000082e+03,1.523335000000000036e+03,1.514505000000000109e+03,1.511454999999999927e+03,1.513944999999999936e+03,1.519210000000000036e+03,1.520640000000000100e+03,1.519990000000000009e+03,1.516970000000000027e+03,1.521420000000000073e+03,1.513359999999999900e+03,1.517765000000000100e+03,1.519585000000000036e+03,1.517950000000000045e+03,1.529115000000000009e+03,1.516555000000000064e+03,1.514650000000000091e+03,1.521109999999999900e+03,1.518480000000000018e+03
